,Product_Name,Prices,Desc,Reviews
0,"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)","28,999",FREE delivery ,N/A
1,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage)","21,999","Tue, 11 Feb ",N/A
2,"realme GT 6T 5G (Razor Green,8GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display","28,998",Or fastest delivery ,N/A
3,"iQOO Z9 Lite 5G (Mocha Brown, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box","11,499","Tomorrow, 10 Feb ",N/A
4,"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)","17,998",FREE delivery ,N/A
5,"Samsung Galaxy M35 5G (Daybreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","18,499","Tue, 11 Feb ",N/A
6,"Redmi Note 14 5G (Titan Black, 8GB RAM 256GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera","21,999",Or fastest delivery ,N/A
7,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","15,989","Tomorrow, 10 Feb ",N/A
8,"Redmi Note 13 5G (Chromatic Purple, 8GB RAM, 256GB Storage)","16,400","₹3,000 off coupon applied",N/A
9,POCO C61 Ethereal Blue 4GB RAM 64GB ROM,"5,899", with coupon,N/A
10,"OPPO F27 Pro+ 5G (Midnight Navy, 8GB RAM, 256GB Storage) | 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers","27,999",FREE delivery ,N/A
11,"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,499","Tue, 11 Feb ",N/A
12,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","8,299",Or fastest delivery ,N/A
13,"realme NARZO 70x 5G (Ice Blue, 8GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box","12,999","Tomorrow, 10 Feb ",N/A
14,"iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box","11,499","₹28,949",N/A
15,"POCO X6 Neo 5G (Astral Black, 8GB RAM, 128GB Storage) | Dimensity 6080 Processor | 5000 mAh Battery + 33W Fast Charging | 108MP + 2MP Rear Camera & 16MP Front Camera","11,999",FREE delivery ,N/A
16,N/A,N/A,"Tue, 11 Feb ",N/A
17,N/A,N/A,Or fastest delivery ,N/A
18,N/A,N/A,"Tomorrow, 10 Feb ",N/A
19,N/A,N/A,FREE delivery ,N/A
20,N/A,N/A,"Tue, 11 Feb ",N/A
21,N/A,N/A,Or fastest delivery ,N/A
22,N/A,N/A,"Tomorrow, 10 Feb ",N/A
23,N/A,N/A,FREE delivery ,N/A
24,N/A,N/A,"Wed, 12 Feb ",N/A
25,N/A,N/A,Or fastest delivery ,N/A
26,N/A,N/A,"Tomorrow, 10 Feb ",N/A
27,N/A,N/A,FREE delivery ,N/A
28,N/A,N/A,"Tue, 11 Feb ",N/A
29,N/A,N/A,Or fastest delivery ,N/A
30,N/A,N/A,"Tomorrow, 10 Feb ",N/A
31,N/A,N/A,FREE delivery ,N/A
32,N/A,N/A,"Tue, 11 Feb ",N/A
33,N/A,N/A,Or fastest delivery ,N/A
34,N/A,N/A,"Tomorrow, 10 Feb ",N/A
35,N/A,N/A,"₹15,909",N/A
36,N/A,N/A,FREE delivery ,N/A
37,N/A,N/A,"Tue, 11 Feb ",N/A
38,N/A,N/A,Or fastest delivery ,N/A
39,N/A,N/A,"Tomorrow, 10 Feb ",N/A
40,N/A,N/A,"₹15,980",N/A
41,N/A,N/A,FREE delivery ,N/A
42,N/A,N/A,"Tue, 11 Feb ",N/A
43,N/A,N/A,Or fastest delivery ,N/A
44,N/A,N/A,"Tomorrow, 10 Feb ",N/A
45,N/A,N/A,FREE delivery ,N/A
46,N/A,N/A,"Tue, 11 Feb ",N/A
47,N/A,N/A,Or fastest delivery ,N/A
48,N/A,N/A,"Tomorrow, 10 Feb ",N/A
49,N/A,N/A,FREE delivery ,N/A
50,N/A,N/A,"Tue, 11 Feb ",N/A
51,N/A,N/A,Or fastest delivery ,N/A
52,N/A,N/A,"Tomorrow, 10 Feb ",N/A
53,N/A,N/A,FREE delivery ,N/A
54,N/A,N/A,"Tue, 11 Feb ",N/A
55,N/A,N/A,Or fastest delivery ,N/A
56,N/A,N/A,"Tomorrow, 10 Feb ",N/A
57,N/A,N/A,FREE delivery ,N/A
58,N/A,N/A,"Wed, 19 Feb ",N/A
59,N/A,N/A,FREE delivery ,N/A
60,N/A,N/A,"Tue, 11 Feb ",N/A
61,N/A,N/A,Or fastest delivery ,N/A
62,N/A,N/A,"Tomorrow, 10 Feb ",N/A
63,N/A,N/A,FREE delivery ,N/A
64,N/A,N/A,"Tue, 11 Feb ",N/A
65,N/A,N/A,Or fastest delivery ,N/A
66,N/A,N/A,"Tomorrow, 10 Feb ",N/A
67,N/A,N/A,"
                                                        mobile under 50000-60000
                                                    ",N/A
68,N/A,N/A,"
                                                            mobile under 40000
                                                        ",N/A
69,N/A,N/A,"
                                                        mobile under 5000
                                                    ",N/A
70,N/A,N/A,"
                                                            mobiles under 50000 5g phones
                                                        ",N/A
71,N/A,N/A,"
                                                        mobile
                                                    ",N/A
72,N/A,N/A,"
                                                            samsung mobiles under 50000
                                                        ",N/A
73,N/A,N/A, or ,N/A
74,"Samsung Galaxy M35 5G (Moonlight Blue,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","23,499",FREE delivery ,N/A
75,"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","8,498","Tue, 11 Feb ",N/A
76,"Samsung Galaxy A15 5G (Blue, 8GB, 128GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery","16,750",Or fastest delivery ,N/A
77,"OnePlus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)","23,999","Tomorrow, 10 Feb ",N/A
78,"Ambrane Mobile Holding Tabletop Stand, 0-135 Perfect View, Height Adjustment, Wide Compatibility, Multipurpose, Anti-Skid Design (Twistand, Black)",179,"₹21,499",N/A
79,"Motorola Edge 50 Fusion 5G (Marshmallow Blue, 12GB RAM, 256GB Storage)","24,299","₹1,000 off coupon applied",N/A
80,"OnePlus 12R (Cool Blue, 16GB RAM, 256GB Storage)","42,999", with coupon,N/A
81,POCO M6 Plus 5G Ice Silver 6GB RAM 128GB ROM,"10,999",FREE delivery ,N/A
82,"POCO X6 5G (Snowstorm White, 12 GB RAM 512 GB Storage)","20,999","Wed, 12 Feb ",N/A
83,"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 256GB Storage)","20,998",Or fastest delivery ,N/A
84,"iQOO Z9s Pro 5G (Flamboyant Orange, 8GB RAM, 256GB Storage) | Snapdragon 7 Gen 3 Processor | 120 Hz Curved AMOLED Display with 4500 nits Local Peak Brightness | 5500 mAh Battery | AI Erase","24,999","Tue, 11 Feb ",N/A
85,"OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 256GB Storage)","28,999",FREE delivery ,N/A
86,"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","16,999","Mon, 17 Feb ",N/A
87,"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone","19,999",FREE delivery ,N/A
88,"Samsung Galaxy A35 5G (Awesome Lilac, 8GB RAM, 128GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster","25,999","Tue, 11 Feb ",N/A
89,"Portronics Clamp M4 Car Phone Holder Stand with 360 Degree Rotation, Strong Grip, Suction Cup Mount, Single Hand Use, Shockproof Build, Mobile Stand for Car (Black)",297,Or fastest delivery ,N/A
90,N/A,N/A,"Tomorrow, 10 Feb ",N/A
91,N/A,N/A,FREE delivery ,N/A
92,N/A,N/A,"Fri, 14 Feb ",N/A
93,N/A,N/A,on ₹499 of items fulfilled by Amazon,N/A
94,N/A,N/A,FREE delivery ,N/A
95,N/A,N/A,"Tue, 11 Feb ",N/A
